ticker,industry,Rank_in_Industry,Score_industry,Score_global,ROA,DE,BV,PB,EPS,Market_Cap
HSV,Kim loại,25,0.6538137292350028,0.14400545411759674,0.009940562,1.331268751,173000000000.0,0.436379642,254.9059905,72449972400.0
PAS,Kim loại,26,0.62802123571541,0.13895280754898562,0.004765661,1.044116804,433000000000.0,0.181439592,150.3331694,78539910400.0
TNB,Kim loại,27,0.6274342736722172,0.13883782402669878,0.003997392,1.660879509,182000000000.0,1.60192419,65.73477322,291347100000.0
VCA,Kim loại,28,0.6256531029120238,0.13848889978163634,0.003240923,0.663398614,192000000000.0,0.647423441,68.27951287,126966011920.0
SMC,Kim loại,29,0.6227484871407222,0.1379198971414359,0.002526938,4.900127026,810000000000.0,1.219115101,163.8762829,994660924500.0
NSH,Kim loại,30,0.6220640114808327,0.13778581109071686,0.002054715,2.831105281,238000000000.0,0.408455583,90.57923568,103467185000.0
DTL,Kim loại,31,0.6219844691985215,0.1377702290749853,0.00200608,1.791186829,759000000000.0,1.059688147,69.21982103,804806412400.0
ITQ,Kim loại,32,0.6219844691985215,0.1377702290749853,0.00193399,0.62978742,333000000000.0,0.258550072,32.91579329,89161254000.0
TDS,Kim loại,33,0.6219844691985215,0.1377702290749853,0.001430618,0.708894507,213000000000.0,0.477108459,42.53043121,101470761900.0
TIS,Kim loại,34,0.6201910629132706,0.13741890793938377,-0.000738661,5.581259684,1580000000000.0,0.571089944,-41.71053946,920000000000.0
KVC,Kim loại,35,0.6193978930124289,0.13726352912055148,-0.00186332,0.202814799,463000000000.0,0.160518128,-20.94370273,79200000000.0
BCA,Kim loại,36,0.6023629125061801,0.13392644440883594,-0.012800914,6.836783069,500000000000.0,1.280987399,-1002.406629,670000000000.0
TTH,Kim loại,37,0.5455249352965773,0.12279211145662469,-0.024855383,0.573104145,410000000000.0,0.209627413,-429.0003959,85962145800.0
TNI,Kim loại,38,0.5440719290583472,0.12250747333204061,-0.029830092,0.849517814,503000000000.0,0.518550356,-528.7843187,260925000000.0
TNA,Kim loại,39,0.5341855596127221,0.12057077300419079,-0.029629736,3.152771371,501000000000.0,0.373011923,-1243.610671,186902515280.0
CBI,Kim loại,40,0.36398548230618577,0.0872292569570135,-0.081550389,6.094566978,277000000000.0,2.327599924,-3728.506094,645095490000.0
TLH,Kim loại,41,0.3068291387330495,0.07603255730446574,-0.152023143,2.125021814,1260000000000.0,0.419588594,-5321.535264,543628882280.0
POM,Kim loại,42,0.06515100048602078,0.028688774316032378,-0.100115704,36.64659276,263000000000.0,6.378556007,-3545.330769,1678058016000.0
MHL,Kim loại,43,0.0,0.015925953272878275,-0.2454164,13.50021475,11631303977.0,1.540845802,-7621.365261,17922045900.0
TMW,Lâm nghiệp và Giấy,1,1.0,0.31195011357249885,0.28397195,0.147656199,125000000000.0,0.874182293,8760.98843,109565225000.0
GVT,Lâm nghiệp và Giấy,2,0.4654908059373109,0.21500418710027275,0.099482724,0.850277824,604000000000.0,1.629712992,9577.878772,984112480000.0
TQN,Lâm nghiệp và Giấy,3,0.31155491925770495,0.18708426108731116,0.039719351,1.268805844,230000000000.0,0.21139032,5755.037327,48600000000.0
SAV,Lâm nghiệp và Giấy,4,0.28191390054597915,0.181708158950045,0.072246973,0.986104398,377000000000.0,0.893653489,2047.211714,338294272000.0
PIS,Lâm nghiệp và Giấy,5,0.25463137234355493,0.1767598250346167,0.079351678,0.655895103,456000000000.0,0.633736828,2177.054441,288750000000.0
PTB,Lâm nghiệp và Giấy,6,0.25224502933398457,0.1763270051009035,0.068555713,0.809869386,3030000000000.0,1.092506501,5621.756797,3373695511200.0
DHC,Lâm nghiệp và Giấy,7,0.2511802608176379,0.17613388406305733,0.074644748,0.619834732,2000000000000.0,1.637115026,2507.439986,3279271443700.0
ACG,Lâm nghiệp và Giấy,8,0.23480952652909143,0.17316466291538962,0.074467908,0.350477882,4180000000000.0,1.321551277,2785.182748,5518838823600.0
CAP,Lâm nghiệp và Giấy,9,0.22858603840093358,0.172035885657346,0.078744457,0.48812141,194000000000.0,3.140487101,1485.061414,606217610500.0
