date,close_price
2023-06-12,52.79
2023-06-13,52.48
2023-06-14,52.36
2023-06-15,52.29
2023-06-16,52.54
2023-06-19,52.67
2023-06-20,53.16
2023-06-21,53.35
2023-06-22,53.16
2023-06-23,52.92
2023-06-26,53.35
2023-06-27,54.28
2023-06-28,54.1
2023-06-29,53.79
2023-06-30,53.47
2023-07-03,53.72
2023-07-04,54.1
2023-07-05,54.11
2023-07-06,53.96
2023-07-07,54.47
2023-07-10,54.47
2023-07-11,54.25
2023-07-12,54.47
2023-07-13,54.83
2023-07-14,56.64
2023-07-17,57.15
2023-07-18,56.93
2023-07-19,56.78
2023-07-20,58.09
2023-07-21,58.59
2023-07-24,58.59
2023-07-25,58.81
2023-07-26,59.82
2023-07-27,60.55
2023-07-28,61.05
2023-07-31,61.92
2023-08-01,61.12
2023-08-02,60.4
2023-08-03,60.55
2023-08-04,60.26
2023-08-07,61.12
2023-08-08,60.91
2023-08-09,60.11
2023-08-10,59.46
2023-08-11,59.32
2023-08-14,59.75
2023-08-15,60.76
2023-08-16,61.56
2023-08-17,62.21
2023-08-18,61.85
2023-08-21,62.14
2023-08-22,62.57
2023-08-23,62.57
2023-08-24,65.87
2023-08-25,66.31
2023-08-28,68.79
2023-08-29,68.5
2023-08-30,70.7
2023-08-31,70.77
2023-09-05,70.84
2023-09-06,72.45
2023-09-07,71.65
2023-09-08,71.43
2023-09-11,71.28
2023-09-12,72.38
2023-09-13,71.72
2023-09-14,70.18
2023-09-15,71.36
2023-09-18,70.92
2023-09-19,72.01
2023-09-20,72.09
2023-09-21,70.84
2023-09-22,70.77
2023-09-25,69.01
2023-09-26,68.43
2023-09-27,69.01
2023-09-28,68.79
2023-09-29,67.92
2023-10-02,68.21
2023-10-03,67.48
2023-10-04,67.7
2023-10-05,67.04
2023-10-06,67.84
2023-10-09,69.96
2023-10-10,70.48
2023-10-11,70.99
2023-10-12,70.55
2023-10-13,70.33
2023-10-16,70.84
2023-10-17,68.14
2023-10-18,68.06
2023-10-19,67.33
2023-10-20,67.99
2023-10-23,66.6
2023-10-24,67.33
2023-10-25,66.53
2023-10-26,63.52
2023-10-27,63.67
2023-10-30,62.21
2023-10-31,60.74
2023-11-01,62.5
2023-11-02,65.13
2023-11-03,63.67
2023-11-06,64.77
2023-11-07,64.62
2023-11-08,67.77
2023-11-09,67.7
2023-11-10,66.96
2023-11-13,66.89
2023-11-14,67.77
2023-11-15,67.62
2023-11-16,68.06
2023-11-17,66.6
2023-11-20,66.38
2023-11-21,67.26
2023-11-22,68.06
2023-11-23,66.45
2023-11-24,66.74
2023-11-27,66.38
2023-11-28,66.67
2023-11-29,67.11
2023-11-30,67.26
2023-12-01,67.62
2023-12-04,68.5
2023-12-05,69.38
2023-12-06,69.53
2023-12-07,69.01
2023-12-08,68.94
2023-12-11,69.53
2023-12-12,70.84
2023-12-13,69.67
2023-12-14,70.4
2023-12-15,70.4
2023-12-18,68.79
2023-12-19,69.23
2023-12-20,69.31
2023-12-21,69.6
2023-12-22,69.23
2023-12-25,70.26
2023-12-26,71.14
2023-12-27,70.92
2023-12-28,70.7
2023-12-29,70.33
2024-01-02,70.18
2024-01-03,70.48
2024-01-04,71.14
2024-01-05,71.28
2024-01-08,71.21
2024-01-09,70.7
2024-01-10,69.31
2024-01-11,69.53
2024-01-12,69.31
2024-01-15,69.82
2024-01-16,70.04
2024-01-17,70.04
2024-01-18,69.96
2024-01-19,70.48
2024-01-22,70.55
2024-01-23,69.96
2024-01-24,69.53
2024-01-25,69.6
2024-01-26,70.18
2024-01-29,70.18
2024-01-30,69.96
2024-01-31,70.04
2024-02-01,73.11
2024-02-02,74.65
2024-02-05,75.75
2024-02-06,76.19
2024-02-07,76.77
2024-02-15,76.11
2024-02-16,76.92
2024-02-19,76.84
2024-02-20,76.33
2024-02-21,77.5
2024-02-22,76.55
2024-02-23,76.04
2024-02-26,79.04
2024-02-27,78.97
2024-02-28,79.41
2024-02-29,79.77
2024-03-01,81.09
2024-03-04,81.53
2024-03-05,81.02
2024-03-06,79.84
2024-03-07,81.45
2024-03-08,80.5
2024-03-11,80.5
2024-03-12,81.89
2024-03-13,85.63
2024-03-14,85.63
2024-03-15,84.89
2024-03-18,82.7
2024-03-19,81.97
2024-03-20,83.8
2024-03-21,85.04
2024-03-22,84.09
2024-03-25,83.43
2024-03-26,84.16
2024-03-27,84.31
2024-03-28,85.7
2024-03-29,85.26
2024-04-01,85.48
2024-04-02,85.63
2024-04-03,84.24
2024-04-04,83.43
2024-04-05,83.21
2024-04-08,82.41
2024-04-09,82.7
2024-04-10,83.28
2024-04-11,84.09
2024-04-12,84.53
2024-04-15,81.67
2024-04-16,82.7
2024-04-17,81.82
2024-04-19,79.77
2024-04-22,80.72
2024-04-23,82.19
2024-04-24,87.9
2024-04-25,90.16
2024-04-26,90.16
2024-05-02,93.16
2024-05-03,92.14
2024-05-06,93.38
2024-05-07,96.09
2024-05-08,95.87
2024-05-09,95.36
2024-05-10,95.87
2024-05-13,94.92
2024-05-14,95.51
2024-05-15,98.14
2024-05-16,99.09
2024-05-17,98.43
2024-05-20,97.34
2024-05-21,99.53
2024-05-22,101.0
2024-05-23,100.63
2024-05-24,96.53
2024-05-27,97.19
2024-05-28,100.26
2024-05-29,99.31
2024-05-30,98.8
2024-05-31,98.51
2024-06-03,100.19
2024-06-04,101.8
